time,oi_usd
2026-04-29 12:00:00,2323061.58
2026-04-29 13:00:00,2304669.52
2026-04-29 14:00:00,2293146.72
2026-04-29 15:00:00,2289262.29
2026-04-29 16:00:00,2245157.05
2026-04-29 17:00:00,2235387.62
2026-04-29 18:00:00,2254042.11
2026-04-29 19:00:00,2236579.40
2026-04-29 20:00:00,2233890.02
2026-04-29 21:00:00,2270895.59
2026-04-29 22:00:00,2277212.18
2026-04-29 23:00:00,2280810.55
2026-04-30 00:00:00,2280720.73
2026-04-30 01:00:00,2297565.40
2026-04-30 02:00:00,2295908.46
2026-04-30 03:00:00,2275453.40
2026-04-30 04:00:00,2306040.98
2026-04-30 05:00:00,2287175.81
2026-04-30 06:00:00,2298388.42
2026-04-30 07:00:00,2313313.08
2026-04-30 08:00:00,2339386.91
2026-04-30 09:00:00,2337326.03
2026-04-30 10:00:00,2343092.00
2026-04-30 11:00:00,2292911.99
2026-04-30 12:00:00,2299299.94
2026-04-30 13:00:00,2295347.04
2026-04-30 14:00:00,2307090.22
2026-04-30 15:00:00,2317793.10
2026-04-30 16:00:00,2319989.16
2026-04-30 17:00:00,2315458.63
2026-04-30 18:00:00,2315214.97
2026-04-30 19:00:00,2320498.77
2026-04-30 20:00:00,2323375.21
2026-04-30 21:00:00,2309413.79
2026-04-30 22:00:00,2311972.24
2026-04-30 23:00:00,2303217.60
2026-05-01 00:00:00,2309989.79
2026-05-01 01:00:00,2322111.42
2026-05-01 02:00:00,2334874.20
2026-05-01 03:00:00,2349654.05
2026-05-01 04:00:00,2353659.77
2026-05-01 05:00:00,2358560.27
2026-05-01 06:00:00,2374965.64
2026-05-01 07:00:00,2365970.30
2026-05-01 08:00:00,2369027.40
2026-05-01 09:00:00,2361833.31
2026-05-01 10:00:00,2341663.66
2026-05-01 11:00:00,2338842.72
2026-05-01 12:00:00,2337941.41
2026-05-01 13:00:00,2335026.00
2026-05-01 14:00:00,2348479.29
2026-05-01 15:00:00,2348656.90
2026-05-01 16:00:00,2331540.39
2026-05-01 17:00:00,2312987.70
2026-05-01 18:00:00,2316906.06
2026-05-01 19:00:00,2319203.51
2026-05-01 20:00:00,2313895.05
2026-05-01 21:00:00,2292919.53
2026-05-01 22:00:00,2294842.39
2026-05-01 23:00:00,2284043.92
2026-05-02 00:00:00,2286223.43
2026-05-02 01:00:00,2277505.65
2026-05-02 02:00:00,2268661.48
2026-05-02 03:00:00,2257001.97
2026-05-02 04:00:00,2263351.64
2026-05-02 05:00:00,2254847.65
2026-05-02 06:00:00,2259303.64
