time,oi_usd
2026-04-28 12:00:00,1690122.19
2026-04-28 13:00:00,1700726.43
2026-04-28 14:00:00,1683960.68
2026-04-28 15:00:00,1687539.95
2026-04-28 16:00:00,1699267.24
2026-04-28 17:00:00,1702600.49
2026-04-28 18:00:00,1701498.83
2026-04-28 19:00:00,1707093.69
2026-04-28 20:00:00,1696387.60
2026-04-28 21:00:00,1693799.01
2026-04-28 22:00:00,1688160.26
2026-04-28 23:00:00,1687631.25
2026-04-29 00:00:00,1682991.92
2026-04-29 01:00:00,1687160.02
2026-04-29 02:00:00,1686745.86
2026-04-29 03:00:00,1689940.68
2026-04-29 04:00:00,1775746.12
2026-04-29 05:00:00,1749369.32
2026-04-29 06:00:00,1728012.52
2026-04-29 07:00:00,1688147.70
2026-04-29 08:00:00,1679718.93
2026-04-29 09:00:00,1687057.46
2026-04-29 10:00:00,1703442.79
2026-04-29 11:00:00,1695118.71
2026-04-29 12:00:00,1681377.76
2026-04-29 13:00:00,1648861.33
2026-04-29 14:00:00,1639450.49
2026-04-29 15:00:00,1632746.50
2026-04-29 16:00:00,1613976.20
2026-04-29 17:00:00,1599563.47
2026-04-29 18:00:00,1613175.93
2026-04-29 19:00:00,1580251.64
2026-04-29 20:00:00,1569075.29
2026-04-29 21:00:00,1579646.23
2026-04-29 22:00:00,1588904.59
2026-04-29 23:00:00,1583124.08
2026-04-30 00:00:00,1581363.74
2026-04-30 01:00:00,1610660.12
2026-04-30 02:00:00,1607785.45
2026-04-30 03:00:00,1605197.10
2026-04-30 04:00:00,1600644.06
2026-04-30 05:00:00,1566159.56
2026-04-30 06:00:00,1570706.88
2026-04-30 07:00:00,1582954.50
2026-04-30 08:00:00,1589270.86
2026-04-30 09:00:00,1586455.91
2026-04-30 10:00:00,1582403.54
2026-04-30 11:00:00,1574066.30
2026-04-30 12:00:00,1573764.94
2026-04-30 13:00:00,1571590.54
2026-04-30 14:00:00,1561086.95
2026-04-30 15:00:00,1567737.31
2026-04-30 16:00:00,1567738.09
2026-04-30 17:00:00,1559120.18
2026-04-30 18:00:00,1558893.39
2026-04-30 19:00:00,1555557.86
2026-04-30 20:00:00,1547297.08
2026-04-30 21:00:00,1543715.54
2026-04-30 22:00:00,1543680.16
2026-04-30 23:00:00,1529476.78
2026-05-01 00:00:00,1528187.57
2026-05-01 01:00:00,1523139.79
2026-05-01 02:00:00,1529244.99
2026-05-01 03:00:00,1529289.81
2026-05-01 04:00:00,1533180.87
2026-05-01 05:00:00,1530077.71
2026-05-01 06:00:00,1519172.97
2026-05-01 07:00:00,1513642.83
2026-05-01 08:00:00,1515290.58
2026-05-01 09:00:00,1523749.86
2026-05-01 10:00:00,1514897.04
2026-05-01 11:00:00,1509787.21
2026-05-01 12:00:00,1507699.45
2026-05-01 13:00:00,1511755.15
2026-05-01 14:00:00,1518549.52
2026-05-01 15:00:00,1520933.43
2026-05-01 16:00:00,1523162.29
2026-05-01 17:00:00,1522164.17
2026-05-01 18:00:00,1519950.70
2026-05-01 19:00:00,1529272.55
2026-05-01 20:00:00,1540853.60
2026-05-01 21:00:00,1531171.33
2026-05-01 22:00:00,1529892.30
2026-05-01 23:00:00,1500658.79
2026-05-02 00:00:00,1503698.45
2026-05-02 01:00:00,1514850.94
2026-05-02 02:00:00,1519965.12
2026-05-02 03:00:00,1508254.90
2026-05-02 04:00:00,1510094.37
2026-05-02 05:00:00,1495014.77
2026-05-02 06:00:00,1508210.06
2026-05-02 07:00:00,1509684.09
2026-05-02 08:00:00,1517366.91
2026-05-02 09:00:00,1512675.92
2026-05-02 10:00:00,1512002.96
2026-05-02 11:00:00,1506475.44
2026-05-02 12:00:00,1493943.38
2026-05-02 13:00:00,1494539.87
2026-05-02 14:00:00,1496298.40
2026-05-02 15:00:00,1499313.94
2026-05-02 16:00:00,1494235.15
2026-05-02 17:00:00,1489524.85
2026-05-02 18:00:00,1488835.54
2026-05-02 19:00:00,1485766.03
2026-05-02 20:00:00,1491253.65
2026-05-02 21:00:00,1495937.64
2026-05-02 22:00:00,1496128.02
