time,pred_funding
2026-04-01 07:00:00,0.0205820000
2026-04-01 08:00:00,0.0113180000
2026-04-01 09:00:00,0.0331600000
2026-04-01 10:00:00,0.0223720000
2026-04-01 11:00:00,0.0050000000
2026-04-01 12:00:00,0.0050000000
2026-04-01 13:00:00,0.0050000000
2026-04-01 14:00:00,0.0077620000
2026-04-01 15:00:00,0.0232640000
2026-04-01 16:00:00,0.0407700000
2026-04-01 17:00:00,0.0633320000
2026-04-01 18:00:00,0.0434940000
2026-04-01 19:00:00,0.0292120000
2026-04-01 20:00:00,0.0160450000
2026-04-01 21:00:00,0.0412310000
2026-04-01 22:00:00,0.0603850000
2026-04-01 23:00:00,0.0369590000
2026-04-02 00:00:00,0.0319540000
2026-04-02 01:00:00,0.0438530000
2026-04-02 02:00:00,0.0357330000
2026-04-02 03:00:00,0.0088070000
2026-04-02 04:00:00,0.0050000000
2026-04-02 05:00:00,0.0087920000
2026-04-02 06:00:00,0.0284970000
2026-04-02 07:00:00,0.0317720000
2026-04-02 08:00:00,0.0515440000
2026-04-02 09:00:00,0.0332940000
2026-04-02 10:00:00,0.0223300000
2026-04-02 11:00:00,-0.0002420000
2026-04-02 12:00:00,-0.0025340000
2026-04-02 13:00:00,0.0050000000
2026-04-02 14:00:00,0.0050000000
2026-04-02 15:00:00,0.0420310000
2026-04-02 16:00:00,0.0556160000
2026-04-02 17:00:00,0.0430970000
2026-04-02 18:00:00,0.0235780000
2026-04-02 19:00:00,0.0222520000
2026-04-02 20:00:00,0.0167190000
2026-04-02 21:00:00,0.0549790000
2026-04-02 22:00:00,0.0798880000
2026-04-02 23:00:00,0.0768470000
2026-04-03 00:00:00,0.0424350000
2026-04-03 01:00:00,0.0103840000
2026-04-03 02:00:00,0.0064140000
2026-04-03 03:00:00,0.0102770000
2026-04-03 04:00:00,0.0402150000
2026-04-03 05:00:00,0.0716960000
2026-04-03 06:00:00,0.0661480000
2026-04-03 07:00:00,0.0375780000
2026-04-03 08:00:00,0.0259270000
2026-04-03 09:00:00,0.0290250000
2026-04-03 10:00:00,0.0050000000
2026-04-03 11:00:00,0.0050000000
