time,oi_usd
2026-04-29 12:00:00,9988211.17
2026-04-29 13:00:00,10106710.95
2026-04-29 14:00:00,10111183.28
2026-04-29 15:00:00,10041010.69
2026-04-29 16:00:00,9964594.28
2026-04-29 17:00:00,9752303.82
2026-04-29 18:00:00,9882817.58
2026-04-29 19:00:00,9949881.38
2026-04-29 20:00:00,9866046.59
2026-04-29 21:00:00,9934878.06
2026-04-29 22:00:00,9953032.77
2026-04-29 23:00:00,9990467.48
2026-04-30 00:00:00,9931124.09
2026-04-30 01:00:00,9985198.95
2026-04-30 02:00:00,9968245.00
2026-04-30 03:00:00,9953171.85
2026-04-30 04:00:00,9907062.51
2026-04-30 05:00:00,9850002.79
2026-04-30 06:00:00,9841678.24
2026-04-30 07:00:00,9829075.38
2026-04-30 08:00:00,9836224.22
2026-04-30 09:00:00,9833418.98
2026-04-30 10:00:00,9917069.41
2026-04-30 11:00:00,9905234.52
2026-04-30 12:00:00,9980026.50
2026-04-30 13:00:00,10002129.74
2026-04-30 14:00:00,10196604.56
2026-04-30 15:00:00,10367154.93
2026-04-30 16:00:00,10344354.98
2026-04-30 17:00:00,10162640.43
2026-04-30 18:00:00,10103381.01
2026-04-30 19:00:00,10139252.75
2026-04-30 20:00:00,10161997.01
2026-04-30 21:00:00,10084281.63
2026-04-30 22:00:00,10105190.80
2026-04-30 23:00:00,10121813.31
2026-05-01 00:00:00,10147866.88
2026-05-01 01:00:00,10077526.72
2026-05-01 02:00:00,10039620.61
2026-05-01 03:00:00,9998576.11
2026-05-01 04:00:00,10548592.81
2026-05-01 05:00:00,10691785.58
2026-05-01 06:00:00,10902102.45
2026-05-01 07:00:00,10781653.13
2026-05-01 08:00:00,10583415.96
2026-05-01 09:00:00,10476202.81
2026-05-01 10:00:00,10393079.01
2026-05-01 11:00:00,10547720.68
2026-05-01 12:00:00,10577756.71
2026-05-01 13:00:00,10910898.35
2026-05-01 14:00:00,10782421.85
2026-05-01 15:00:00,10726596.60
2026-05-01 16:00:00,10688574.50
2026-05-01 17:00:00,10784371.14
2026-05-01 18:00:00,10678650.03
2026-05-01 19:00:00,10712846.12
2026-05-01 20:00:00,10589956.57
2026-05-01 21:00:00,10505414.39
2026-05-01 22:00:00,10596686.27
2026-05-01 23:00:00,10607568.74
2026-05-02 00:00:00,10673082.31
2026-05-02 01:00:00,10719150.35
2026-05-02 02:00:00,10816242.56
2026-05-02 03:00:00,10939188.15
2026-05-02 04:00:00,11093932.13
2026-05-02 05:00:00,11189536.99
2026-05-02 06:00:00,11322263.87
2026-05-02 07:00:00,11162391.16
2026-05-02 08:00:00,11249625.47
2026-05-02 09:00:00,11211447.65
2026-05-02 10:00:00,11140982.74
2026-05-02 11:00:00,11393647.69
2026-05-02 12:00:00,11427548.58
2026-05-02 13:00:00,11476589.48
2026-05-02 14:00:00,11360978.68
2026-05-02 15:00:00,11343565.05
2026-05-02 16:00:00,11217768.17
2026-05-02 17:00:00,11611660.41
2026-05-02 18:00:00,11331193.79
2026-05-02 19:00:00,11200599.69
2026-05-02 20:00:00,11163960.96
2026-05-02 21:00:00,11238304.00
2026-05-02 22:00:00,11292087.33
2026-05-02 23:00:00,11191066.46
2026-05-03 00:00:00,11199097.85
2026-05-03 01:00:00,11162032.20
2026-05-03 02:00:00,11265338.30
2026-05-03 03:00:00,11475113.75
2026-05-03 04:00:00,11768873.30
2026-05-03 05:00:00,11922747.23
2026-05-03 06:00:00,12394328.44
2026-05-03 07:00:00,12355786.88
2026-05-03 08:00:00,12617210.91
2026-05-03 09:00:00,13100322.03
2026-05-03 10:00:00,12097123.17
2026-05-03 11:00:00,12048683.39
2026-05-03 12:00:00,12171979.40
2026-05-03 13:00:00,12176057.82
2026-05-03 14:00:00,12409954.86
2026-05-03 15:00:00,12231664.73
2026-05-03 16:00:00,12151497.62
2026-05-03 17:00:00,12029612.94
2026-05-03 18:00:00,12224870.66
2026-05-03 19:00:00,12094136.72
2026-05-03 20:00:00,12172177.90
2026-05-03 21:00:00,12090505.17
2026-05-03 22:00:00,12118011.16
2026-05-03 23:00:00,12171201.51
2026-05-04 00:00:00,12191556.45
2026-05-04 01:00:00,12070273.94
2026-05-04 02:00:00,12166774.39
2026-05-04 03:00:00,12295414.96
2026-05-04 04:00:00,12250270.44
2026-05-04 05:00:00,12017154.24
2026-05-04 06:00:00,12026349.99
2026-05-04 07:00:00,11788508.79
2026-05-04 08:00:00,11665251.66
2026-05-04 09:00:00,11892826.34
2026-05-04 10:00:00,12016706.28
2026-05-04 11:00:00,12123525.66
2026-05-04 12:00:00,11946052.97
2026-05-04 13:00:00,11960117.60
2026-05-04 14:00:00,12099054.16
2026-05-04 15:00:00,12093727.70
2026-05-04 16:00:00,10360789.00
2026-05-04 17:00:00,10394649.34
2026-05-04 18:00:00,10460015.62
2026-05-04 19:00:00,10259176.58
2026-05-04 20:00:00,10275445.72
2026-05-04 21:00:00,10165917.41
2026-05-04 22:00:00,10155002.53
2026-05-04 23:00:00,10270984.42
2026-05-05 00:00:00,10202626.73
2026-05-05 01:00:00,10231644.07
2026-05-05 02:00:00,10155094.54
2026-05-05 03:00:00,10135991.42
2026-05-05 04:00:00,10153866.20
2026-05-05 05:00:00,10096467.46
2026-05-05 06:00:00,10130481.37
2026-05-05 07:00:00,10003085.78
2026-05-05 08:00:00,10016545.00
2026-05-05 09:00:00,10074762.66
2026-05-05 10:00:00,10131648.58
2026-05-05 11:00:00,10187608.38
2026-05-05 12:00:00,10094604.81
2026-05-05 13:00:00,10173064.93
