time,oi_usd
2026-04-28 12:00:00,1263090.94
2026-04-28 13:00:00,1273701.83
2026-04-28 14:00:00,1273863.61
2026-04-28 15:00:00,1264084.82
2026-04-28 16:00:00,1268591.40
2026-04-28 17:00:00,1272060.28
2026-04-28 18:00:00,1274460.72
2026-04-28 19:00:00,1281455.12
2026-04-28 20:00:00,1296131.08
2026-04-28 21:00:00,1303508.40
2026-04-28 22:00:00,1336583.67
2026-04-28 23:00:00,1324545.17
2026-04-29 00:00:00,1320028.52
2026-04-29 01:00:00,1325620.48
2026-04-29 02:00:00,1312289.15
2026-04-29 03:00:00,1317628.21
2026-04-29 04:00:00,1320978.64
2026-04-29 05:00:00,1323227.82
2026-04-29 06:00:00,1322137.00
2026-04-29 07:00:00,1317844.66
2026-04-29 08:00:00,1301054.73
2026-04-29 09:00:00,1308118.07
2026-04-29 10:00:00,1332403.44
2026-04-29 11:00:00,1320362.86
2026-04-29 12:00:00,1316654.38
2026-04-29 13:00:00,1323829.44
2026-04-29 14:00:00,1320442.04
2026-04-29 15:00:00,1329480.72
2026-04-29 16:00:00,1316807.29
2026-04-29 17:00:00,1328249.24
2026-04-29 18:00:00,1331355.08
2026-04-29 19:00:00,1308672.12
2026-04-29 20:00:00,1304422.63
2026-04-29 21:00:00,1317082.26
2026-04-29 22:00:00,1319197.52
2026-04-29 23:00:00,1310961.82
2026-04-30 00:00:00,1315517.57
2026-04-30 01:00:00,1334424.47
2026-04-30 02:00:00,1334447.87
2026-04-30 03:00:00,1313305.26
2026-04-30 04:00:00,1317068.55
2026-04-30 05:00:00,1295589.50
2026-04-30 06:00:00,1303256.16
2026-04-30 07:00:00,1315424.02
2026-04-30 08:00:00,1336970.74
2026-04-30 09:00:00,1335984.01
2026-04-30 10:00:00,1351349.60
2026-04-30 11:00:00,1308890.18
2026-04-30 12:00:00,1322752.96
2026-04-30 13:00:00,1320805.59
2026-04-30 14:00:00,1312325.53
2026-04-30 15:00:00,1300160.73
2026-04-30 16:00:00,1316713.02
2026-04-30 17:00:00,1299926.51
2026-04-30 18:00:00,1286004.47
2026-04-30 19:00:00,1290626.20
2026-04-30 20:00:00,1288847.56
2026-04-30 21:00:00,1289856.40
2026-04-30 22:00:00,1280658.63
2026-04-30 23:00:00,1266932.68
2026-05-01 00:00:00,1274722.96
2026-05-01 01:00:00,1292794.55
2026-05-01 02:00:00,1289162.07
2026-05-01 03:00:00,1287369.11
2026-05-01 04:00:00,1280405.51
2026-05-01 05:00:00,1272015.20
2026-05-01 06:00:00,1271069.67
2026-05-01 07:00:00,1264368.23
2026-05-01 08:00:00,1263478.82
2026-05-01 09:00:00,1258964.49
2026-05-01 10:00:00,1333665.84
2026-05-01 11:00:00,1336913.53
2026-05-01 12:00:00,1354739.87
2026-05-01 13:00:00,1356514.10
2026-05-01 14:00:00,1360958.52
2026-05-01 15:00:00,1333829.98
2026-05-01 16:00:00,1297861.39
2026-05-01 17:00:00,1286490.68
2026-05-01 18:00:00,1282425.86
2026-05-01 19:00:00,1297101.88
2026-05-01 20:00:00,1290860.98
2026-05-01 21:00:00,1311376.81
2026-05-01 22:00:00,1317535.89
2026-05-01 23:00:00,1313099.24
2026-05-02 00:00:00,1314957.93
2026-05-02 01:00:00,1317393.01
2026-05-02 02:00:00,1325000.04
2026-05-02 03:00:00,1311560.55
2026-05-02 04:00:00,1318452.13
2026-05-02 05:00:00,1299923.70
2026-05-02 06:00:00,1298672.93
2026-05-02 07:00:00,1328276.12
2026-05-02 08:00:00,1320791.65
2026-05-02 09:00:00,1296432.72
2026-05-02 10:00:00,1293350.83
2026-05-02 11:00:00,1298922.46
2026-05-02 12:00:00,1273680.86
2026-05-02 13:00:00,1284575.76
2026-05-02 14:00:00,1287435.75
2026-05-02 15:00:00,1286624.11
2026-05-02 16:00:00,1285552.91
2026-05-02 17:00:00,1287264.85
2026-05-02 18:00:00,1275905.81
2026-05-02 19:00:00,1328694.99
2026-05-02 20:00:00,1333022.64
2026-05-02 21:00:00,1348826.24
2026-05-02 22:00:00,1358301.05
2026-05-02 23:00:00,1354388.78
2026-05-03 00:00:00,1333612.16
2026-05-03 01:00:00,1323568.65
2026-05-03 02:00:00,1293392.99
2026-05-03 03:00:00,1294344.58
2026-05-03 04:00:00,1295947.70
2026-05-03 05:00:00,1287498.84
2026-05-03 06:00:00,1287772.23
2026-05-03 07:00:00,1290702.21
2026-05-03 08:00:00,1282877.31
2026-05-03 09:00:00,1301949.39
2026-05-03 10:00:00,1298719.20
2026-05-03 11:00:00,1288207.49
2026-05-03 12:00:00,1299316.17
2026-05-03 13:00:00,1309786.23
2026-05-03 14:00:00,1299170.91
2026-05-03 15:00:00,1290269.23
2026-05-03 16:00:00,1301906.82
2026-05-03 17:00:00,1311081.28
2026-05-03 18:00:00,1302703.70
2026-05-03 19:00:00,1295338.39
2026-05-03 20:00:00,1301103.14
2026-05-03 21:00:00,1302860.68
2026-05-03 22:00:00,1286446.12
