time,oi_usd
2026-04-28 12:00:00,1965426.67
2026-04-28 13:00:00,2007986.41
2026-04-28 14:00:00,1995376.09
2026-04-28 15:00:00,1986636.09
2026-04-28 16:00:00,2003737.55
2026-04-28 17:00:00,1981859.89
2026-04-28 18:00:00,1998827.56
2026-04-28 19:00:00,2006124.10
2026-04-28 20:00:00,2001053.77
2026-04-28 21:00:00,1997781.17
2026-04-28 22:00:00,1985799.86
2026-04-28 23:00:00,1997261.22
2026-04-29 00:00:00,2004924.63
2026-04-29 01:00:00,1970642.29
2026-04-29 02:00:00,1976496.35
2026-04-29 03:00:00,1968502.89
2026-04-29 04:00:00,1974252.49
2026-04-29 05:00:00,1996537.53
2026-04-29 06:00:00,1993904.54
2026-04-29 07:00:00,1988276.51
2026-04-29 08:00:00,1979938.91
2026-04-29 09:00:00,1979512.57
2026-04-29 10:00:00,2018858.69
2026-04-29 11:00:00,2025723.54
2026-04-29 12:00:00,2013425.13
2026-04-29 13:00:00,1990819.71
2026-04-29 14:00:00,1947540.50
2026-04-29 15:00:00,1919334.65
2026-04-29 16:00:00,1824416.39
2026-04-29 17:00:00,1790178.84
2026-04-29 18:00:00,1830099.84
2026-04-29 19:00:00,1728693.66
2026-04-29 20:00:00,1713998.63
2026-04-29 21:00:00,1715816.25
2026-04-29 22:00:00,1719405.60
2026-04-29 23:00:00,1705556.67
2026-04-30 00:00:00,1701692.08
2026-04-30 01:00:00,1727596.42
2026-04-30 02:00:00,1735291.63
2026-04-30 03:00:00,1693217.50
2026-04-30 04:00:00,1701449.77
2026-04-30 05:00:00,1685785.74
2026-04-30 06:00:00,1679839.98
2026-04-30 07:00:00,1702231.15
2026-04-30 08:00:00,1716897.42
2026-04-30 09:00:00,1686258.70
2026-04-30 10:00:00,1682519.20
2026-04-30 11:00:00,1659381.30
2026-04-30 12:00:00,1654826.05
2026-04-30 13:00:00,1653510.44
2026-04-30 14:00:00,1651469.18
2026-04-30 15:00:00,1653192.48
2026-04-30 16:00:00,1657171.31
2026-04-30 17:00:00,1703135.28
2026-04-30 18:00:00,1651395.20
2026-04-30 19:00:00,1659901.75
2026-04-30 20:00:00,1647957.35
2026-04-30 21:00:00,1648477.39
2026-04-30 22:00:00,1647514.19
2026-04-30 23:00:00,1646320.56
2026-05-01 00:00:00,1653193.15
2026-05-01 01:00:00,1650336.81
2026-05-01 02:00:00,1649781.01
2026-05-01 03:00:00,1648437.76
2026-05-01 04:00:00,1642336.44
2026-05-01 05:00:00,1636600.60
2026-05-01 06:00:00,1636338.02
2026-05-01 07:00:00,1668450.67
2026-05-01 08:00:00,1660364.37
2026-05-01 09:00:00,1741637.58
2026-05-01 10:00:00,1744893.80
2026-05-01 11:00:00,1750367.42
2026-05-01 12:00:00,1758097.54
2026-05-01 13:00:00,1767826.41
2026-05-01 14:00:00,1771565.81
2026-05-01 15:00:00,1779144.73
2026-05-01 16:00:00,1785960.88
2026-05-01 17:00:00,1794011.70
2026-05-01 18:00:00,1792968.44
2026-05-01 19:00:00,1794818.07
2026-05-01 20:00:00,1787011.45
2026-05-01 21:00:00,1773791.31
2026-05-01 22:00:00,1775252.76
2026-05-01 23:00:00,1765951.43
2026-05-02 00:00:00,1751587.83
2026-05-02 01:00:00,1753509.26
2026-05-02 02:00:00,1743181.65
2026-05-02 03:00:00,1738351.85
2026-05-02 04:00:00,1743185.59
2026-05-02 05:00:00,1727941.62
2026-05-02 06:00:00,1726931.48
2026-05-02 07:00:00,1728601.76
2026-05-02 08:00:00,1728606.74
2026-05-02 09:00:00,1730610.08
2026-05-02 10:00:00,1736481.56
2026-05-02 11:00:00,1744951.85
2026-05-02 12:00:00,1768844.30
2026-05-02 13:00:00,1807333.32
2026-05-02 14:00:00,1820214.61
2026-05-02 15:00:00,1843197.95
2026-05-02 16:00:00,1842169.50
2026-05-02 17:00:00,1801431.74
2026-05-02 18:00:00,1785887.54
2026-05-02 19:00:00,1782591.44
2026-05-02 20:00:00,1778645.19
2026-05-02 21:00:00,1745952.06
2026-05-02 22:00:00,1744371.46
2026-05-02 23:00:00,1742212.68
2026-05-03 00:00:00,1736563.27
2026-05-03 01:00:00,1726742.38
2026-05-03 02:00:00,1699506.30
2026-05-03 03:00:00,1684758.48
2026-05-03 04:00:00,1702364.29
2026-05-03 05:00:00,1701365.92
2026-05-03 06:00:00,1698969.02
2026-05-03 07:00:00,1693705.34
2026-05-03 08:00:00,1704306.20
2026-05-03 09:00:00,1699518.29
2026-05-03 10:00:00,1703079.89
2026-05-03 11:00:00,1708633.73
2026-05-03 12:00:00,1700216.16
2026-05-03 13:00:00,1702158.22
2026-05-03 14:00:00,1707260.72
2026-05-03 15:00:00,1722457.66
2026-05-03 16:00:00,1731963.66
2026-05-03 17:00:00,1748967.04
2026-05-03 18:00:00,1768004.46
2026-05-03 19:00:00,1774671.05
2026-05-03 20:00:00,1757502.36
2026-05-03 21:00:00,1759456.93
2026-05-03 22:00:00,1764224.86
2026-05-03 23:00:00,1757513.67
2026-05-04 00:00:00,1745242.56
2026-05-04 01:00:00,1697514.36
2026-05-04 02:00:00,1691109.81
2026-05-04 03:00:00,1701461.73
2026-05-04 04:00:00,1731473.96
2026-05-04 05:00:00,1724813.30
2026-05-04 06:00:00,1725585.30
2026-05-04 07:00:00,1702076.40
2026-05-04 08:00:00,1693193.64
2026-05-04 09:00:00,1690664.97
2026-05-04 10:00:00,1705237.92
2026-05-04 11:00:00,1613432.01
2026-05-04 12:00:00,1613109.30
2026-05-04 13:00:00,1620141.14
2026-05-04 14:00:00,1617939.92
2026-05-04 15:00:00,1675426.94
2026-05-04 16:00:00,1617696.66
2026-05-04 17:00:00,1626532.26
2026-05-04 18:00:00,1635615.19
2026-05-04 19:00:00,1632810.85
2026-05-04 20:00:00,1616795.21
2026-05-04 21:00:00,1605079.29
2026-05-04 22:00:00,1623653.78
2026-05-04 23:00:00,1608779.98
2026-05-05 00:00:00,1610444.69
2026-05-05 01:00:00,1627080.90
2026-05-05 02:00:00,1632409.06
2026-05-05 03:00:00,1632002.02
2026-05-05 04:00:00,1647561.86
2026-05-05 05:00:00,1637373.23
2026-05-05 06:00:00,1651057.59
2026-05-05 07:00:00,1651187.65
2026-05-05 08:00:00,1651089.72
2026-05-05 09:00:00,1647527.15
2026-05-05 10:00:00,1653221.82
2026-05-05 11:00:00,1673902.56
2026-05-05 12:00:00,1666413.99
2026-05-05 13:00:00,1671669.67
2026-05-05 14:00:00,1667941.91
2026-05-05 15:00:00,1647670.32
2026-05-05 16:00:00,2249338.90
2026-05-05 17:00:00,2155245.75
2026-05-05 18:00:00,2208536.79
2026-05-05 19:00:00,2251936.05
2026-05-05 20:00:00,2258861.96
2026-05-05 21:00:00,2250966.21
2026-05-05 22:00:00,2208822.86
2026-05-05 23:00:00,2145904.27
2026-05-06 00:00:00,2122831.69
2026-05-06 01:00:00,2131555.97
2026-05-06 02:00:00,2423463.85
2026-05-06 03:00:00,2367789.97
2026-05-06 04:00:00,2282739.08
2026-05-06 05:00:00,2110706.59
2026-05-06 06:00:00,2034786.76
2026-05-06 07:00:00,2024571.60
2026-05-06 08:00:00,2026883.60
2026-05-06 09:00:00,2015143.96
2026-05-06 10:00:00,2032141.72
2026-05-06 11:00:00,2038718.33
2026-05-06 12:00:00,1988222.25
