time,oi_usd
2026-04-25 12:00:00,2233724.06
2026-04-25 13:00:00,2181591.18
2026-04-25 14:00:00,2179199.08
2026-04-25 15:00:00,2145831.04
2026-04-25 16:00:00,2115807.80
2026-04-25 17:00:00,2028314.53
2026-04-25 18:00:00,2002762.92
2026-04-25 19:00:00,1999972.02
2026-04-25 20:00:00,1992098.51
2026-04-25 21:00:00,1982485.12
2026-04-25 22:00:00,1982503.78
2026-04-25 23:00:00,1982849.63
2026-04-26 00:00:00,1990048.50
2026-04-26 01:00:00,1982678.78
2026-04-26 02:00:00,1938490.49
2026-04-26 03:00:00,1954859.80
2026-04-26 04:00:00,1917594.06
2026-04-26 05:00:00,1920193.77
2026-04-26 06:00:00,1936619.76
2026-04-26 07:00:00,1964512.58
2026-04-26 08:00:00,1960928.87
2026-04-26 09:00:00,1939356.95
2026-04-26 10:00:00,1930382.48
2026-04-26 11:00:00,1929308.92
2026-04-26 12:00:00,1971306.28
2026-04-26 13:00:00,1929383.97
2026-04-26 14:00:00,1918508.26
2026-04-26 15:00:00,1929211.00
2026-04-26 16:00:00,2175834.61
2026-04-26 17:00:00,2165306.62
2026-04-26 18:00:00,2200584.83
2026-04-26 19:00:00,2160080.44
2026-04-26 20:00:00,2131928.67
2026-04-26 21:00:00,2119102.83
2026-04-26 22:00:00,2114075.59
2026-04-26 23:00:00,2063100.52
2026-04-27 00:00:00,2049454.68
2026-04-27 01:00:00,2018541.44
2026-04-27 02:00:00,2027521.32
2026-04-27 03:00:00,2001423.09
2026-04-27 04:00:00,1992891.77
2026-04-27 05:00:00,1987198.46
2026-04-27 06:00:00,1949569.74
2026-04-27 07:00:00,1898695.31
2026-04-27 08:00:00,1872418.69
2026-04-27 09:00:00,1875112.53
2026-04-27 10:00:00,1883074.51
2026-04-27 11:00:00,1867592.31
2026-04-27 12:00:00,1864276.32
2026-04-27 13:00:00,1856219.50
2026-04-27 14:00:00,1848436.58
2026-04-27 15:00:00,1869236.16
2026-04-27 16:00:00,1825808.07
2026-04-27 17:00:00,1856529.96
2026-04-27 18:00:00,1861650.42
2026-04-27 19:00:00,1855094.43
2026-04-27 20:00:00,1851921.54
2026-04-27 21:00:00,1848212.03
2026-04-27 22:00:00,1853002.90
2026-04-27 23:00:00,1855623.56
2026-04-28 00:00:00,1861638.71
2026-04-28 01:00:00,1862480.62
2026-04-28 02:00:00,1857269.39
2026-04-28 03:00:00,1859632.69
2026-04-28 04:00:00,1866504.29
2026-04-28 05:00:00,1873194.69
2026-04-28 06:00:00,1880179.15
2026-04-28 07:00:00,1884833.78
2026-04-28 08:00:00,1914190.65
2026-04-28 09:00:00,1925992.50
2026-04-28 10:00:00,1896562.60
2026-04-28 11:00:00,1901961.01
2026-04-28 12:00:00,1890803.69
2026-04-28 13:00:00,1900795.39
2026-04-28 14:00:00,1892675.60
2026-04-28 15:00:00,1883344.40
2026-04-28 16:00:00,1890416.84
2026-04-28 17:00:00,1886776.82
2026-04-28 18:00:00,1896548.72
2026-04-28 19:00:00,1901859.51
2026-04-28 20:00:00,1902303.06
2026-04-28 21:00:00,1892745.43
2026-04-28 22:00:00,1883601.05
2026-04-28 23:00:00,1878116.52
2026-04-29 00:00:00,1878722.65
2026-04-29 01:00:00,1958762.80
2026-04-29 02:00:00,1923419.23
2026-04-29 03:00:00,1949779.61
2026-04-29 04:00:00,2192008.46
2026-04-29 05:00:00,2135097.14
2026-04-29 06:00:00,2144631.29
2026-04-29 07:00:00,2156646.78
2026-04-29 08:00:00,2120986.68
2026-04-29 09:00:00,2069817.26
2026-04-29 10:00:00,2061981.81
2026-04-29 11:00:00,2041670.73
2026-04-29 12:00:00,2035070.03
2026-04-29 13:00:00,2019922.36
2026-04-29 14:00:00,1998913.90
2026-04-29 15:00:00,2014515.55
2026-04-29 16:00:00,1953629.78
2026-04-29 17:00:00,1920178.67
2026-04-29 18:00:00,1943797.95
2026-04-29 19:00:00,1848442.78
2026-04-29 20:00:00,1843948.20
2026-04-29 21:00:00,1844696.34
2026-04-29 22:00:00,1851144.58
2026-04-29 23:00:00,1849950.36
2026-04-30 00:00:00,1845993.17
2026-04-30 01:00:00,1867074.77
2026-04-30 02:00:00,1861522.75
2026-04-30 03:00:00,1823823.45
2026-04-30 04:00:00,1826112.18
2026-04-30 05:00:00,1819228.62
2026-04-30 06:00:00,1827233.94
2026-04-30 07:00:00,1831881.39
2026-04-30 08:00:00,1839032.62
2026-04-30 09:00:00,1825316.97
2026-04-30 10:00:00,1832358.89
2026-04-30 11:00:00,1817251.89
2026-04-30 12:00:00,1815875.59
2026-04-30 13:00:00,1824012.14
2026-04-30 14:00:00,1814306.00
2026-04-30 15:00:00,1813541.85
2026-04-30 16:00:00,1820845.77
2026-04-30 17:00:00,1812819.54
2026-04-30 18:00:00,1813239.01
2026-04-30 19:00:00,1813413.53
2026-04-30 20:00:00,1810226.18
2026-04-30 21:00:00,1806543.14
2026-04-30 22:00:00,1805126.87
2026-04-30 23:00:00,1801400.17
2026-05-01 00:00:00,1793270.83
2026-05-01 01:00:00,1796265.38
2026-05-01 02:00:00,1802828.83
2026-05-01 03:00:00,1802541.69
2026-05-01 04:00:00,1811898.13
2026-05-01 05:00:00,1803514.39
2026-05-01 06:00:00,1798887.92
2026-05-01 07:00:00,1794324.92
2026-05-01 08:00:00,1795517.52
2026-05-01 09:00:00,1808989.32
2026-05-01 10:00:00,1790404.17
2026-05-01 11:00:00,1769562.14
2026-05-01 12:00:00,1765902.50
2026-05-01 13:00:00,1780322.86
2026-05-01 14:00:00,1802355.87
2026-05-01 15:00:00,1807131.68
2026-05-01 16:00:00,1797702.73
2026-05-01 17:00:00,1789923.87
2026-05-01 18:00:00,1791623.74
2026-05-01 19:00:00,1799175.39
2026-05-01 20:00:00,1796962.51
2026-05-01 21:00:00,1785885.11
2026-05-01 22:00:00,1789689.48
2026-05-01 23:00:00,1783865.40
2026-05-02 00:00:00,1786797.59
2026-05-02 01:00:00,1791017.16
2026-05-02 02:00:00,1791045.39
2026-05-02 03:00:00,1775004.73
2026-05-02 04:00:00,1776238.96
2026-05-02 05:00:00,1780246.83
2026-05-02 06:00:00,1775176.87
2026-05-02 07:00:00,1781589.05
2026-05-02 08:00:00,1784375.20
2026-05-02 09:00:00,1826488.45
2026-05-02 10:00:00,1830160.29
2026-05-02 11:00:00,1831356.51
2026-05-02 12:00:00,1824798.07
2026-05-02 13:00:00,1822394.94
2026-05-02 14:00:00,1838465.67
2026-05-02 15:00:00,1846250.55
2026-05-02 16:00:00,1862249.92
2026-05-02 17:00:00,1875404.90
2026-05-02 18:00:00,1869022.50
