time,oi_usd
2026-04-25 12:00:00,3558586.31
2026-04-25 13:00:00,3557670.62
2026-04-25 14:00:00,3539881.66
2026-04-25 15:00:00,3533676.93
2026-04-25 16:00:00,3510646.41
2026-04-25 17:00:00,3492872.59
2026-04-25 18:00:00,3459933.37
2026-04-25 19:00:00,3458808.36
2026-04-25 20:00:00,3458592.19
2026-04-25 21:00:00,3469362.51
2026-04-25 22:00:00,3464153.81
2026-04-25 23:00:00,3462980.34
2026-04-26 00:00:00,3470422.79
2026-04-26 01:00:00,3449238.84
2026-04-26 02:00:00,3446821.16
2026-04-26 03:00:00,3486199.79
2026-04-26 04:00:00,3473485.43
2026-04-26 05:00:00,3496800.81
2026-04-26 06:00:00,3518874.09
2026-04-26 07:00:00,3528198.47
2026-04-26 08:00:00,3564693.65
2026-04-26 09:00:00,3580255.74
2026-04-26 10:00:00,3597488.80
2026-04-26 11:00:00,3619822.12
2026-04-26 12:00:00,3651501.15
2026-04-26 13:00:00,3623962.72
2026-04-26 14:00:00,3617811.49
2026-04-26 15:00:00,3629453.45
2026-04-26 16:00:00,3629630.18
2026-04-26 17:00:00,3635812.17
2026-04-26 18:00:00,3658790.90
2026-04-26 19:00:00,3682546.26
2026-04-26 20:00:00,3746127.88
2026-04-26 21:00:00,3735941.27
2026-04-26 22:00:00,3739964.66
2026-04-26 23:00:00,3736017.72
2026-04-27 00:00:00,3746710.77
2026-04-27 01:00:00,3784277.89
2026-04-27 02:00:00,3772056.26
2026-04-27 03:00:00,3763548.34
2026-04-27 04:00:00,3755127.05
2026-04-27 05:00:00,3760311.48
2026-04-27 06:00:00,3676036.52
2026-04-27 07:00:00,3642222.26
2026-04-27 08:00:00,3620986.86
2026-04-27 09:00:00,3652001.01
2026-04-27 10:00:00,3652665.73
2026-04-27 11:00:00,3645929.05
2026-04-27 12:00:00,3659559.37
2026-04-27 13:00:00,3681425.88
2026-04-27 14:00:00,3669307.61
2026-04-27 15:00:00,3669487.58
2026-04-27 16:00:00,3637909.75
2026-04-27 17:00:00,3649321.95
2026-04-27 18:00:00,3658952.66
2026-04-27 19:00:00,3671001.57
2026-04-27 20:00:00,3656803.62
2026-04-27 21:00:00,3653253.56
2026-04-27 22:00:00,3628585.94
2026-04-27 23:00:00,3643660.82
2026-04-28 00:00:00,3667407.04
2026-04-28 01:00:00,3651624.56
2026-04-28 02:00:00,3644383.99
2026-04-28 03:00:00,3638291.66
2026-04-28 04:00:00,3653131.45
2026-04-28 05:00:00,3674924.02
2026-04-28 06:00:00,3674385.96
2026-04-28 07:00:00,3680934.91
2026-04-28 08:00:00,3650504.86
2026-04-28 09:00:00,3646368.75
2026-04-28 10:00:00,3617347.98
2026-04-28 11:00:00,3607373.74
2026-04-28 12:00:00,3577592.29
2026-04-28 13:00:00,3613503.95
2026-04-28 14:00:00,3639509.67
2026-04-28 15:00:00,3646340.94
2026-04-28 16:00:00,3654869.21
2026-04-28 17:00:00,3662958.49
2026-04-28 18:00:00,3672042.61
2026-04-28 19:00:00,3701492.75
2026-04-28 20:00:00,3703270.62
2026-04-28 21:00:00,3728514.40
2026-04-28 22:00:00,3733633.87
2026-04-28 23:00:00,3716700.93
2026-04-29 00:00:00,3720862.31
2026-04-29 01:00:00,3739251.26
2026-04-29 02:00:00,3746868.16
2026-04-29 03:00:00,3790268.54
2026-04-29 04:00:00,3838450.94
2026-04-29 05:00:00,3801433.98
2026-04-29 06:00:00,3781911.00
2026-04-29 07:00:00,3749573.67
2026-04-29 08:00:00,3729721.60
2026-04-29 09:00:00,3718955.66
2026-04-29 10:00:00,3755244.60
2026-04-29 11:00:00,3748982.73
2026-04-29 12:00:00,3731307.76
2026-04-29 13:00:00,3709283.03
2026-04-29 14:00:00,3699343.15
2026-04-29 15:00:00,3701642.73
2026-04-29 16:00:00,3645336.54
2026-04-29 17:00:00,3645992.33
2026-04-29 18:00:00,3711161.21
2026-04-29 19:00:00,3657289.24
2026-04-29 20:00:00,3635585.90
2026-04-29 21:00:00,3653468.25
2026-04-29 22:00:00,3676481.75
2026-04-29 23:00:00,3676339.44
2026-04-30 00:00:00,3693643.34
2026-04-30 01:00:00,3736257.37
2026-04-30 02:00:00,3735573.05
2026-04-30 03:00:00,3702483.23
2026-04-30 04:00:00,3717055.94
2026-04-30 05:00:00,3689931.67
2026-04-30 06:00:00,3709176.65
2026-04-30 07:00:00,3729155.68
